"video_ID","X","audiofiles.j.","max_voltage_v","max_voltage_mv","max_SPL","RMS_SPL","shrimp_ID","collection_date","film_date","Strike_Video_File_Name","FrameStart","FrameEnd","Strike_duration_frames","Strike_Duration_Seconds","first_collapse_frame","second_collapse_frame","use_distance","bubble_formation","Temperature","acc_hr","Treatment","FrameRate","Calibration.ID","Pixels_per_mm","DactylLength_px","DactylLength_mm","BodyLength_mm","BodyLength_m","Hand","Cavitation","claw_length_mm","claw_length_m","sex","body_mass_g","max_bubble_f","max_b_length_px","max_b_width_px","max_b_length_mm","max_b_width_mm","max_size_mm2","abs_maxB","abs_c1","abs_c2","collapse_ms","rebound_ms","col_rate_mm2pms","use_bubble","use_SPL","growth_ms"
"Pistol204_strike9",25,"Pistol204_strike9_audio_r.csv",0.891966,891.966,206.6250994,186.5619207,"Pistol204",61522,61722,"Pistol204_061722_C1_strike9_60kfps_33C_3h_C001H001S0001.avi",79,125,46,0.000766667,145,157,"N",1,33,3,"3h",60000,"C1",25.7613,128.4733333,4.987067164,23,0.023,"R",1,8,0.008,"F",0.28,NA,NA,NA,NA,NA,NA,NA,20,32,NA,0.2,NA,0,1,NA
"Pistol210_strike1",35,"Pistol210_strike1_audio_r.csv",5.047719,5047.719,221.6800368,198.8087048,"Pistol210",61522,61722,"Pistol210_061722_C4_strike1_60kfps_33C_3h_C001H001S0001.avi",125,192,67,0.001116667,219,236,"Y",1,33,3,"3h",60000,"C4",22.06458333,157.4676667,6.989767936,32,0.032,"R",1,17,0.017,"M",1.12,208,189.106,86.209,8.570567464,3.907121141,33.48624533,16,27,44,0.183333333,0.283333333,182.6522473,1,1,0.266666666666667
"Pistol210_strike10",36,"Pistol210_strike10_audio_r.csv",2.822292,2822.292,216.6301723,197.8781068,"Pistol210",61522,61722,"Pistol210_061722_C5_strike10_60kfps_33C_3h_C001H001S0001.avi",129,193,64,0.001066667,220,235,"Y",1,33,3,"3h",60000,"C5",22.52831111,157.4676667,6.989767936,32,0.032,"R",1,17,0.017,"M",1.12,208,184.356,79.5,8.183303182,3.528893028,28.87800154,15,27,42,0.2,0.25,144.3900077,1,1,0.25
"Pistol210_strike2",37,"Pistol210_strike2_audio_r.csv",4.827281,4827.281,221.292185,194.2375201,"Pistol210",61522,61722,"Pistol210_061722_C4_strike2_60kfps_33C_3h_C001H001S0001.avi",156,225,69,0.00115,252,267,"M",1,33,3,"3h",60000,"C4",22.06458333,157.4676667,6.989767936,32,0.032,"R",1,17,0.017,"M",1.12,NA,NA,NA,NA,NA,NA,NA,27,42,NA,0.25,NA,0,1,NA
"Pistol210_strike4",38,"Pistol210_strike4_audio_r.csv",5.583343,5583.343,222.5560196,198.4461838,"Pistol210",61522,61722,"Pistol210_061722_C5_strike4_60kfps_33C_3h_C001H001S0001.avi",167,237,70,0.001166667,264,280,"Y",1,33,3,"3h",60000,"C5",22.52831111,157.4676667,6.989767936,32,0.032,"R",1,17,0.017,"M",1.12,252,198.047,90.922,8.791027389,4.03589952,35.47970322,15,27,43,0.2,0.266666667,177.3985161,1,1,0.25
"Pistol210_strike5",39,"Pistol210_strike5_audio_r.csv",3.501016,3501.016,218.5020153,198.3510334,"Pistol210",61522,61722,"Pistol210_061722_C5_strike5_60kfps_33C_3h_C001H001S0001.avi",72,138,66,0.0011,166,182,"Y",1,33,3,"3h",60000,"C5",22.52831111,157.4676667,6.989767936,32,0.032,"R",1,17,0.017,"M",1.12,153,193.635,88.605,8.595184923,3.933051154,33.80530198,15,28,44,0.216666667,0.266666667,156.0244707,1,1,0.25
"Pistol210_strike6",40,"Pistol210_strike6_audio_r.csv",4.200692,4200.692,220.0845502,199.1580488,"Pistol210",61522,61722,"Pistol210_061722_C5_strike6_60kfps_33C_3h_C001H001S0001.avi",74,137,63,0.00105,166,183,"N",1,33,3,"3h",60000,"C5",22.52831111,157.4676667,6.989767936,32,0.032,"R",1,17,0.017,"M",1.12,152,173.666,94.281,7.708789139,4.185000799,32.26128871,15,29,46,0.233333333,0.283333333,138.2626659,1,1,0.25
"Pistol210_strike7",41,"Pistol210_strike7_audio_r.csv",5.317464,5317.464,222.1322246,197.1631416,"Pistol210",61522,61722,"Pistol210_061722_C5_strike7_60kfps_33C_3h_C001H001S0001.avi",56,124,68,0.001133333,153,169,"Y",1,33,3,"3h",60000,"C5",22.52831111,157.4676667,6.989767936,32,0.032,"R",1,17,0.017,"M",1.12,139,190.354,85.752,8.449545954,3.806410502,32.16244046,15,29,45,0.233333333,0.266666667,137.8390305,1,1,0.25
"Pistol210_strike8",42,"Pistol210_strike8_audio_r.csv",7.149937,7149.937,224.7041777,199.8596169,"Pistol210",61522,61722,"Pistol210_061722_C5_strike8_60kfps_33C_3h_C001H001S0001.avi",87,148,61,0.001016667,179,195,"M",1,33,3,"3h",60000,"C5",22.52831111,157.4676667,6.989767936,32,0.032,"R",1,17,0.017,"M",1.12,163,174.868,92.535,7.762144226,4.107498318,31.88299435,15,31,47,0.266666667,0.266666667,119.5612288,1,1,0.25
"Pistol210_strike9",43,"Pistol210_strike9_audio_r.csv",5.534034,5534.034,222.4789698,199.3927221,"Pistol210",61522,61722,"Pistol210_061722_C5_strike9_60kfps_33C_3h_C001H001S0001.avi",79,148,69,0.00115,178,193,"Y",1,33,3,"3h",60000,"C5",22.52831111,157.4676667,6.989767936,32,0.032,"R",1,17,0.017,"M",1.12,163,187.039,88.144,8.302397773,3.912588013,32.48386201,15,30,45,0.25,0.25,129.935448,1,1,0.25
